Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3345-6361-4033-15796,"Jun 2, 2021",11:16:07 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,90803,USD,5.49,0.81955,EUR,4.5
GPA.3345-6361-4033-15796,"Jun 2, 2021",11:16:07 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a11q,US,CA,90803,USD,-1.65,0.81955,EUR,-1.35
GPA.3355-0549-7639-66352,"Jun 3, 2021",9:28:31 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,AZ,85203,USD,3.49,0.82395,EUR,2.88
GPA.3355-0549-7639-66352,"Jun 3, 2021",9:28:31 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,taimen,US,AZ,85203,USD,-1.05,0.82395,EUR,-0.87
GPA.3315-4276-0178-03742,"Jun 3, 2021",1:46:27 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,WA,98662,USD,5.49,0.82465,EUR,4.53
GPA.3315-4276-0178-03742,"Jun 3, 2021",1:46:27 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,r8q,US,WA,98662,USD,-1.65,0.82465,EUR,-1.36
GPA.3328-9013-2180-45727,"Jun 3, 2021",2:05:29 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,konawifi,US,PA,15108,USD,5.49,0.8245,EUR,4.53
GPA.3328-9013-2180-45727,"Jun 3, 2021",2:05:29 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,konawifi,US,PA,15108,USD,-1.65,0.8245,EUR,-1.36
GPA.3381-4880-7992-92913,"Jun 3, 2021",5:55:58 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,o1q,US,CA,91913,USD,5.49,0.82435,EUR,4.53
GPA.3381-4880-7992-92913,"Jun 3, 2021",5:55:58 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,o1q,US,CA,91913,USD,-1.65,0.82435,EUR,-1.36
GPA.3308-7535-7611-67463,"Jun 3, 2021",7:42:02 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,ocean,US,FL,33773,USD,3.49,0.82455,EUR,2.88
GPA.3308-7535-7611-67463,"Jun 3, 2021",7:42:02 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,ocean,US,FL,33773,USD,-1.05,0.82455,EUR,-0.87
GPA.3322-8772-7949-76863,"Jun 3, 2021",11:06:09 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh50lm,US,TX,79412,USD,3.49,0.8255,EUR,2.88
GPA.3322-8772-7949-76863,"Jun 3, 2021",11:06:09 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh50lm,US,TX,79412,USD,-1.05,0.8255,EUR,-0.87
GPA.3318-6051-7431-41605,"Jun 4, 2021",6:01:46 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a51x,US,NJ,07480,USD,3.49,0.8255,EUR,2.88
GPA.3318-6051-7431-41605,"Jun 4, 2021",6:01:46 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a51x,US,NJ,07480,USD,-1.05,0.8255,EUR,-0.87
GPA.3351-6320-5128-28222,"Jun 4, 2021",6:16:44 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,m31,NL,,7523 ZA,EUR,1.73,1.0,EUR,1.73
GPA.3356-7810-2835-33779,"Jun 4, 2021",6:52:58 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus7Pro,US,MO,64029,USD,5.49,0.8255,EUR,4.53
GPA.3356-7810-2835-33779,"Jun 4, 2021",6:52:58 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus7Pro,US,MO,64029,USD,-1.65,0.8255,EUR,-1.36
GPA.3368-6856-9896-00962,"Jun 4, 2021",3:05:27 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ocean,US,MI,48312,USD,5.49,0.8219,EUR,4.51
GPA.3368-6856-9896-00962,"Jun 4, 2021",3:05:27 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ocean,US,MI,48312,USD,-1.65,0.8219,EUR,-1.36
GPA.3376-1697-2793-91148,"Jun 4, 2021",4:02:47 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a50,US,OH,45710,USD,3.49,0.8219,EUR,2.87
GPA.3376-1697-2793-91148,"Jun 4, 2021",4:02:47 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a50,US,OH,45710,USD,-1.05,0.8219,EUR,-0.86
GPA.3348-1605-1820-91855,"Jun 4, 2021",4:03:02 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a50,US,OH,45710,USD,5.49,0.8219,EUR,4.51
GPA.3348-1605-1820-91855,"Jun 4, 2021",4:03:02 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a50,US,OH,45710,USD,-1.65,0.8219,EUR,-1.36
GPA.3328-5299-8389-18636,"Jun 4, 2021",4:13:47 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1q,US,WI,53575,USD,3.49,0.8219,EUR,2.87
GPA.3328-5299-8389-18636,"Jun 4, 2021",4:13:47 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1q,US,WI,53575,USD,-1.05,0.8219,EUR,-0.86
GPA.3358-4606-5293-89519,"Jun 5, 2021",6:09:12 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus7TTMO,US,NY,11210,USD,5.49,0.8219,EUR,4.51
GPA.3358-4606-5293-89519,"Jun 5, 2021",6:09:12 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus7TTMO,US,NY,11210,USD,-1.65,0.8219,EUR,-1.36
GPA.3377-4704-7265-32279,"Jun 5, 2021",9:22:32 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qlteue,US,NY,11214,USD,5.49,0.8219,EUR,4.51
GPA.3377-4704-7265-32279,"Jun 5, 2021",9:22:32 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,dream2qlteue,US,NY,11214,USD,-1.65,0.8219,EUR,-1.36
GPA.3304-4336-5527-20730,"Jun 6, 2021",1:19:34 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mh4x,US,WA,98387,USD,5.49,0.8219,EUR,4.51
GPA.3304-4336-5527-20730,"Jun 6, 2021",1:19:34 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mh4x,US,WA,98387,USD,-1.65,0.8219,EUR,-1.36
GPA.3344-6696-4223-55057,"Jun 6, 2021",10:07:35 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cv1s,US,IN,47542,USD,5.49,0.8219,EUR,4.51
GPA.3344-6696-4223-55057,"Jun 6, 2021",10:07:35 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,cv1s,US,IN,47542,USD,-1.65,0.8219,EUR,-1.36
GPA.3382-7037-6229-59843,"Jun 6, 2021",10:07:55 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,cv1s,US,IN,47542,USD,3.49,0.8219,EUR,2.87
GPA.3382-7037-6229-59843,"Jun 6, 2021",10:07:55 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,cv1s,US,IN,47542,USD,-1.05,0.8219,EUR,-0.86
GPA.3396-1567-7412-04185,"Jun 6, 2021",12:28:11 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a71xq,US,FL,34479,USD,5.49,0.8219,EUR,4.51
GPA.3396-1567-7412-04185,"Jun 6, 2021",12:28:11 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a71xq,US,FL,34479,USD,-1.65,0.8219,EUR,-1.36
GPA.3335-4420-5330-47365,"Jun 6, 2021",12:28:26 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a71xq,US,FL,34479,USD,3.49,0.8219,EUR,2.87
GPA.3335-4420-5330-47365,"Jun 6, 2021",12:28:26 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a71xq,US,FL,34479,USD,-1.05,0.8219,EUR,-0.86
GPA.3328-0983-2825-47529,"Jun 6, 2021",1:36:58 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,redfin,US,NJ,08505,USD,3.49,0.8222,EUR,2.87
GPA.3328-0983-2825-47529,"Jun 6, 2021",1:36:58 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,redfin,US,NJ,08505,USD,-1.05,0.8222,EUR,-0.86
GPA.3368-6227-5366-18953,"Jun 6, 2021",2:05:47 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,z3q,US,MN,55806,USD,5.49,0.8222,EUR,4.51
GPA.3368-6227-5366-18953,"Jun 6, 2021",2:05:47 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,z3q,US,MN,55806,USD,-1.65,0.8222,EUR,-1.36
GPA.3302-1460-3276-02946,"Jun 6, 2021",2:44:58 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,bloomq,US,MN,55806,USD,5.49,0.8222,EUR,4.51
GPA.3302-1460-3276-02946,"Jun 6, 2021",2:44:58 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,bloomq,US,MN,55806,USD,-1.65,0.8222,EUR,-1.36
GPA.3374-8605-6288-43100,"Jun 6, 2021",3:55:04 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d2q,US,MO,63077,USD,3.49,0.8221,EUR,2.87
GPA.3374-8605-6288-43100,"Jun 6, 2021",3:55:04 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d2q,US,MO,63077,USD,-1.05,0.8221,EUR,-0.86
GPA.3373-5708-9153-40138,"Jun 6, 2021",5:13:40 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crosshatch,US,AZ,85712,USD,5.49,0.82215,EUR,4.51
GPA.3373-5708-9153-40138,"Jun 6, 2021",5:13:40 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crosshatch,US,AZ,85712,USD,-1.65,0.82215,EUR,-1.36
GPA.3306-9012-8232-71050,"Jun 6, 2021",7:04:48 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2xq,US,NC,27530,USD,5.49,0.822,EUR,4.51
GPA.3306-9012-8232-71050,"Jun 6, 2021",7:04:48 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2xq,US,NC,27530,USD,-1.65,0.822,EUR,-1.36
GPA.3303-4769-9627-90855,"Jun 6, 2021",10:41:37 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gtelwifiue,US,MA,02746,USD,3.49,0.8219,EUR,2.87
GPA.3303-4769-9627-90855,"Jun 6, 2021",10:41:37 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gtelwifiue,US,MA,02746,USD,-1.05,0.8219,EUR,-0.86
GPA.3355-5944-4800-95388,"Jun 6, 2021",11:23:43 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlus6TSingle,US,UT,84318,USD,3.49,0.8218,EUR,2.87
GPA.3355-5944-4800-95388,"Jun 6, 2021",11:23:43 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlus6TSingle,US,UT,84318,USD,-1.05,0.8218,EUR,-0.86
GPA.3323-3333-6389-80594,"Jun 7, 2021",12:51:38 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus6TSingle,US,UT,84318,USD,5.49,0.82255,EUR,4.52
GPA.3323-3333-6389-80594,"Jun 7, 2021",12:51:38 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlus6TSingle,US,UT,84318,USD,-1.65,0.82255,EUR,-1.36
GPA.3369-0298-9923-21375,"Jun 7, 2021",5:45:58 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,heroqltetfnvzw,US,TN,37876,USD,5.49,0.8227,EUR,4.52
GPA.3369-0298-9923-21375,"Jun 7, 2021",5:45:58 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,heroqltetfnvzw,US,TN,37876,USD,-1.65,0.8227,EUR,-1.36
GPA.3335-3362-6586-13492,"Jun 7, 2021",6:13:46 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d1q,US,NE,68022,USD,5.49,0.8221,EUR,4.51
GPA.3335-3362-6586-13492,"Jun 7, 2021",6:13:46 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d1q,US,NE,68022,USD,-1.65,0.8221,EUR,-1.36
GPA.3330-3487-4679-76653,"Jun 7, 2021",6:14:08 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d1q,US,NE,68022,USD,3.49,0.8221,EUR,2.87
GPA.3330-3487-4679-76653,"Jun 7, 2021",6:14:08 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d1q,US,NE,68022,USD,-1.05,0.8221,EUR,-0.86
GPA.3396-9960-1312-67792,"Jun 7, 2021",6:25:27 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mdh50lm,US,MI,48867,USD,5.49,0.8221,EUR,4.51
GPA.3396-9960-1312-67792,"Jun 7, 2021",6:25:27 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mdh50lm,US,MI,48867,USD,-1.65,0.8221,EUR,-1.36
GPA.3311-5445-8806-03333,"Jun 7, 2021",6:25:42 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh50lm,US,MI,48867,USD,3.49,0.8221,EUR,2.87
GPA.3311-5445-8806-03333,"Jun 7, 2021",6:25:42 AM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mdh50lm,US,MI,48867,USD,-1.05,0.8221,EUR,-0.86
GPA.3393-4661-8728-27684,"Jun 7, 2021",8:46:10 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crownqltesq,US,MD,21222,USD,5.49,0.82125,EUR,4.51
GPA.3393-4661-8728-27684,"Jun 7, 2021",8:46:10 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crownqltesq,US,MD,21222,USD,-1.65,0.82125,EUR,-1.36
GPA.3386-0797-3650-89986,"Jun 7, 2021",12:08:10 PM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,timelm,US,LA,71111,USD,3.49,0.81975,EUR,2.86
GPA.3386-0797-3650-89986,"Jun 7, 2021",12:08:10 PM PDT,,Google fee,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,timelm,US,LA,71111,USD,-1.05,0.81975,EUR,-0.86
GPA.3336-4133-8739-85189,"Jun 7, 2021",12:09:43 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,timelm,US,LA,71111,USD,5.49,0.81975,EUR,4.5
GPA.3336-4133-8739-85189,"Jun 7, 2021",12:09:43 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,timelm,US,LA,71111,USD,-1.65,0.81975,EUR,-1.35
GPA.3326-9652-6904-31144,"Jun 7, 2021",1:13:42 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gta4lwifi,US,TX,76179,USD,5.49,0.82005,EUR,4.5
GPA.3326-9652-6904-31144,"Jun 7, 2021",1:13:42 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gta4lwifi,US,TX,76179,USD,-1.65,0.82005,EUR,-1.35
GPA.3331-7771-2039-61823,"Jun 7, 2021",1:31:21 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,x1q,US,MO,65265,USD,5.49,0.82005,EUR,4.5
GPA.3331-7771-2039-61823,"Jun 7, 2021",1:31:21 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,x1q,US,MO,65265,USD,-1.65,0.82005,EUR,-1.35
GPA.3308-9672-4100-79917,"Jun 7, 2021",4:36:06 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crownqlteue,US,TN,38572,USD,5.49,0.82025,EUR,4.5
GPA.3308-9672-4100-79917,"Jun 7, 2021",4:36:06 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,crownqlteue,US,TN,38572,USD,-1.65,0.82025,EUR,-1.35
GPA.3376-3758-7991-17731,"Jun 7, 2021",11:44:30 PM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,blueline,AU,SA,5048,AUD,7.26,0.6358,EUR,4.62
GPA.3376-3758-7991-17731,"Jun 7, 2021",11:44:30 PM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,blueline,AU,SA,5048,AUD,-2.18,0.6358,EUR,-1.39
GPA.3355-6662-2341-53676,"Jun 8, 2021",9:27:07 AM PDT,,Charge,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a01q,US,TX,78006,USD,5.49,0.82085,EUR,4.51
GPA.3355-6662-2341-53676,"Jun 8, 2021",9:27:07 AM PDT,,Google fee,,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a01q,US,TX,78006,USD,-1.65,0.82085,EUR,-1.35
GPA.3381-1953-8750-27682,"Jun 8, 2021",11:05:50 AM PDT,,Charge,,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,beyond1,GB,,TW20 8JA,GBP,1.51,1.1618,EUR,1.75
